OPCS_CODE,TREATMENT_TYPE
J123,Brachytherapy
J487,Brachytherapy
M706,Brachytherapy
M712,Brachytherapy
P064,Brachytherapy
P205,Brachytherapy
Q151,Brachytherapy
X652,Brachytherapy
X656,Brachytherapy
X68X,Brachytherapy
X681,Brachytherapy
X682,Brachytherapy
X683,Brachytherapy
X688,Brachytherapy
X689,Brachytherapy
Y354,Brachytherapy
Y364,Brachytherapy
Y89X,Brachytherapy
Y891,Brachytherapy
Y892,Brachytherapy
Y898,Brachytherapy
Y899,Brachytherapy
O44X,Proton therapy
O441,Proton therapy
O448,Proton therapy
O449,Proton therapy
B022,Radioisotope therapy
T481,Radioisotope therapy
X653,Radioisotope therapy
X655,Radioisotope therapy
X657,Radioisotope therapy
Y351,Radioisotope therapy
Y352,Radioisotope therapy
Y353,Radioisotope therapy
Y358,Radioisotope therapy
Y359,Radioisotope therapy
Y363,Radioisotope therapy
A107,Teletherapy
A613,Teletherapy
C242,Teletherapy
C395,Teletherapy
C455,Teletherapy
C823,Teletherapy
C824,Teletherapy
X651,Teletherapy
X654,Teletherapy
X658,Teletherapy
X659,Teletherapy
X67X,Teletherapy
X671,Teletherapy
X672,Teletherapy
X673,Teletherapy
X674,Teletherapy
X675,Teletherapy
X676,Teletherapy
X677,Teletherapy
X678,Teletherapy
X679,Teletherapy
X69X,Teletherapy
X691,Teletherapy
X692,Teletherapy
X698,Teletherapy
X699,Teletherapy
Y902,Teletherapy
Y91X,Teletherapy
Y911,Teletherapy
Y912,Teletherapy
Y913,Teletherapy
Y914,Teletherapy
Y915,Teletherapy
Y916,Teletherapy
Y917,Teletherapy
Y918,Teletherapy
Y919,Teletherapy
Y92X,Teletherapy
Y921,Teletherapy
Y928,Teletherapy
Y929,Teletherapy
A106,Chemotherapy
T133,Chemotherapy
T482,Chemotherapy
X352,Chemotherapy
X353,Immunotherapy
X373,Chemotherapy
X374,Immunotherapy
X376,Hormone therapy
X384,Chemotherapy
X385,Immunotherapy
X701,Chemotherapy
X702,Chemotherapy
X703,Chemotherapy
X704,Chemotherapy
X705,Chemotherapy
X708,Chemotherapy
X709,Chemotherapy
X711,Chemotherapy
X712,Chemotherapy
X713,Chemotherapy
X714,Chemotherapy
X715,Chemotherapy
X718,Chemotherapy
X719,Chemotherapy
X721,Chemotherapy
X722,Chemotherapy
X723,Chemotherapy
X724,Chemotherapy
X728,Chemotherapy
X729,Chemotherapy
X731,Chemotherapy
X738,Chemotherapy
X739,Chemotherapy
X748,Chemotherapy
X749,Chemotherapy
X962,Immunotherapy
Y123,Chemotherapy
Y08X,Laser therapy
Y081,Laser therapy
Y082,Laser therapy
Y083,Laser therapy
Y084,Laser therapy
Y085,Laser therapy
Y086,Laser therapy
Y088,Laser therapy
Y089,Laser therapy
X521,Hyperbaric oxygen therapy
S12X,Light therapy
S121,Light therapy
S122,Light therapy
S123,Light therapy
S124,Light therapy
S128,Light therapy
S129,Light therapy
C882,Light therapy
E487,Light therapy
G147,Light therapy
G422,Light therapy
J414,Light therapy
J484,Light therapy
Q166,Light therapy
Y136,Light therapy
Y371,Light therapy
A612,Cryotherapy
A77X,Cryotherapy
A771,Cryotherapy
A772,Cryotherapy
A773,Cryotherapy
A774,Cryotherapy
A775,Cryotherapy
A778,Cryotherapy
A779,Cryotherapy
B021,Cryotherapy
C123,Cryotherapy
C393,Cryotherapy
C454,Cryotherapy
C663,Cryotherapy
C822,Cryotherapy
C851,Cryotherapy
G295,Cryotherapy
H264,Cryotherapy
H343,Cryotherapy
H381,Cryotherapy
H493,Cryotherapy
H521,Cryotherapy
M671,Cryotherapy
P204,Cryotherapy
Q024,Cryotherapy
Q173,Cryotherapy
S102,Cryotherapy
S112,Cryotherapy
Y112,Cryotherapy
Y132,Cryotherapy
M497,High intensity focused ultrasound
M711,High intensity focused ultrasound
A472,Radiofrequency ablation
A573,Radiofrequency ablation
A604,Radiofrequency ablation
A78X,Radiofrequency ablation
A781,Radiofrequency ablation
A782,Radiofrequency ablation
A783,Radiofrequency ablation
A784,Radiofrequency ablation
A785,Radiofrequency ablation
A788,Radiofrequency ablation
A789,Radiofrequency ablation
E595,Radiofrequency ablation
J124,Radiofrequency ablation
K641,Radiofrequency ablation
L436,Radiofrequency ablation
L882,Radiofrequency ablation
M137,Radiofrequency ablation
M676,Radiofrequency ablation
M707,Radiofrequency ablation
Q165,Radiofrequency ablation
Q167,Radiofrequency ablation
V481,Radiofrequency ablation
V483,Radiofrequency ablation
V485,Radiofrequency ablation
V487,Radiofrequency ablation
V62X,Radiofrequency ablation
V621,Radiofrequency ablation
V622,Radiofrequency ablation
V623,Radiofrequency ablation
V628,Radiofrequency ablation
V629,Radiofrequency ablation
V63X,Radiofrequency ablation
V631,Radiofrequency ablation
V632,Radiofrequency ablation
V633,Radiofrequency ablation
V638,Radiofrequency ablation
V639,Radiofrequency ablation
